panelist_id,genre,propensity
lena,developer_tooling,0.6
lena,synthetic_panels,0.65
lena,ai_eval,0.5
lena,graph_db,0.2
lena,qualitative_research,0.35
lena,broadcasting_insight,0.05
lena,product_management,0.95
lena,academic_methodology,0.1
lena,competitive_intel,0.3
diego,developer_tooling,0.4
diego,synthetic_panels,0.85
diego,ai_eval,0.3
diego,graph_db,0.05
diego,qualitative_research,0.95
diego,broadcasting_insight,0.1
diego,product_management,0.4
diego,academic_methodology,0.5
diego,competitive_intel,0.2
aanya,developer_tooling,0.95
aanya,synthetic_panels,0.4
aanya,ai_eval,0.95
aanya,graph_db,0.7
aanya,qualitative_research,0.05
aanya,broadcasting_insight,0.0
aanya,product_management,0.3
aanya,academic_methodology,0.2
aanya,competitive_intel,0.15
tom,developer_tooling,0.2
tom,synthetic_panels,0.9
tom,ai_eval,0.3
tom,graph_db,0.1
tom,qualitative_research,0.7
tom,broadcasting_insight,0.95
tom,product_management,0.45
tom,academic_methodology,0.4
tom,competitive_intel,0.3
hannah,developer_tooling,0.1
hannah,synthetic_panels,0.85
hannah,ai_eval,0.4
hannah,graph_db,0.05
hannah,qualitative_research,0.95
hannah,broadcasting_insight,0.15
hannah,product_management,0.2
hannah,academic_methodology,0.6
hannah,competitive_intel,0.15
wei,developer_tooling,0.6
wei,synthetic_panels,0.95
wei,ai_eval,0.7
wei,graph_db,0.5
wei,qualitative_research,0.45
wei,broadcasting_insight,0.3
wei,product_management,0.6
wei,academic_methodology,0.3
wei,competitive_intel,0.95
rachel,developer_tooling,0.2
rachel,synthetic_panels,0.55
rachel,ai_eval,0.25
rachel,graph_db,0.05
rachel,qualitative_research,0.4
rachel,broadcasting_insight,0.2
rachel,product_management,0.45
rachel,academic_methodology,0.05
rachel,competitive_intel,0.3
felipe,developer_tooling,0.2
felipe,synthetic_panels,0.8
felipe,ai_eval,0.55
felipe,graph_db,0.1
felipe,qualitative_research,0.85
felipe,broadcasting_insight,0.2
felipe,product_management,0.25
felipe,academic_methodology,0.95
felipe,competitive_intel,0.1
karim,developer_tooling,0.85
karim,synthetic_panels,0.7
karim,ai_eval,0.6
karim,graph_db,0.95
karim,qualitative_research,0.1
karim,broadcasting_insight,0.55
karim,product_management,0.35
karim,academic_methodology,0.2
karim,competitive_intel,0.2
jenny,developer_tooling,0.2
jenny,synthetic_panels,0.7
jenny,ai_eval,0.25
jenny,graph_db,0.1
jenny,qualitative_research,0.7
jenny,broadcasting_insight,0.95
jenny,product_management,0.5
jenny,academic_methodology,0.4
jenny,competitive_intel,0.4
